"","N","Mean_Dg","Pro_Isolates","Size_main_component","Mean_Geodesic","Components"
"1",739,2.31393775372125,0.508795669824087,298,3.87482545831269,30
"2",855,2.46315789473684,0.470175438596491,358,3.87709497206704,43
"3",885,1.78983050847458,0.575141242937853,299,4.16377892864733,37
"4",988,2.48987854251012,0.477732793522267,428,4.13333042187091,42
"5",1016,2.34055118110236,0.476377952755905,434,4.10753042111746,46
"6",1040,2.53846153846154,0.453846153846154,461,4.09914314350111,46
"7",1296,2.18055555555556,0.442901234567901,524,4.86111677641163,73
"8",1477,1.99052132701422,0.455653351387949,583,4.99900261555979,84
"9",1644,2.02189781021898,0.454379562043796,673,5.12605728491662,83
"10",1689,2.17051509769094,0.433392539964476,746,5.15541691523694,87
